date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,state,statezip,country
02-05-2024,4963411,1,1.9,2511,7267,2.9,0,0,3,2326,185,1985,2000,8996 MG Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,2831878,2,1.2,3357,7446,1.1,0,1,4,3007,350,1982,0,6703 Main Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,2601502,3,2.8,3209,1933,2.6,0,1,2,792,2417,2000,2009,9698 Main Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,819112,5,1.1,1270,7590,2.9,1,4,4,720,550,1992,0,7428 Main Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,1447362,2,1.1,2371,4679,1.4,0,4,3,1345,1026,2004,1990,145 Station Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,4226957,5,1.3,2919,9461,2.7,1,3,1,1891,1028,1985,2001,4520 Station Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,4371259,4,2.6,4455,2663,2.4,0,2,3,1327,3128,1990,0,2601 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,1719852,1,2.5,1178,7110,1.1,0,0,4,1062,116,1977,2003,8567 Park Street,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,4163100,4,2.2,1492,7340,2.7,1,0,3,932,560,1984,2003,345 MG Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,3114170,3,1.3,1151,5536,1.3,1,2,2,673,478,1989,2009,3034 Main Road,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,2314163,3,2.7,1324,1037,2.7,1,1,4,624,700,1987,1991,8746 Station Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,2818594,2,2.1,4227,1714,1.4,0,3,2,1909,2318,1956,0,4965 Main Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,1216483,2,2.4,2861,2461,1.4,1,1,3,743,2118,1983,0,2296 Circular Road,Patna,Bihar,Bihar 115249,India
02-05-2024,1608200,2,2.9,2968,1553,2.6,0,2,5,2462,506,1994,0,4544 Park Street,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,3868857,4,2.1,3270,4333,2,1,2,3,1131,2139,2008,0,5984 Park Street,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,2957262,5,2.5,2694,8894,1.6,1,1,2,2666,28,1961,2007,7013 Circular Road,Patna,Bihar,Bihar 115249,India
02-05-2024,3953428,5,2.4,3085,4431,1.1,1,1,3,1928,1157,1991,2001,6508 Circular Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,2358741,5,1.3,1991,7892,2.9,0,4,3,564,1427,1977,2016,10 Park Street,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,4423567,3,1.8,2605,8094,2.6,0,4,4,831,1774,2016,0,4765 Main Road,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,1751669,5,1.6,1636,3962,1.4,0,0,3,1305,331,2019,0,3904 Park Street,Patna,Bihar,Bihar 115249,India
02-05-2024,2319879,3,2.1,3651,7143,2.1,1,3,1,3613,38,1990,0,3083 Park Street,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,2302791,2,1.9,2931,7571,2.7,0,4,3,632,2299,2017,0,5254 Circular Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,2124008,1,2.3,4659,5501,2.1,1,0,2,2241,2418,2020,1996,2770 Park Street,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,4597989,5,2.1,4371,1815,2.4,0,0,3,3072,1299,2021,2010,7419 Main Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,3044489,4,1.7,4169,4446,1.4,0,2,1,1012,3157,2017,0,1839 Circular Road,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,2756763,2,1.9,709,9276,1.4,0,1,5,662,47,2018,0,3055 Station Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,4836880,3,1.7,1650,6193,2.8,0,1,4,1634,16,1988,2020,5557 Park Street,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,758269,3,2,3019,7208,2.1,1,0,3,1637,1382,1984,0,4303 MG Road,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,1883788,2,1.6,2759,8083,2.5,1,0,4,2402,357,1960,0,3993 MG Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,1655261,5,2.9,2109,1647,1,0,4,4,629,1480,1966,2013,4107 Station Road,Patna,Bihar,Bihar 115249,India
02-05-2024,3515845,2,1.9,4785,9657,1.3,0,1,3,1805,2980,1993,2007,9574 Station Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,3281234,2,1.9,1958,2810,1.4,0,3,3,568,1390,2012,2021,3189 Circular Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,2493833,1,1.8,3370,3057,1.7,0,3,2,2862,508,1994,2018,2220 Station Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,891591,1,1.9,864,6479,2.9,0,3,3,757,107,1956,2005,4186 Circular Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,2509809,4,1.6,2067,2254,2.6,1,2,1,1117,950,1988,0,7867 MG Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,4648027,4,2.4,3135,2041,2.8,1,4,3,1923,1212,2017,2004,2781 Main Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,4868303,1,1.3,3194,7598,2.3,0,4,1,1651,1543,1953,0,415 Main Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,2992272,2,2.2,1153,7415,2,1,2,1,747,406,2007,2013,1229 Main Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,3706512,5,1.7,3684,2081,1.6,0,2,2,2551,1133,2004,1999,2734 Circular Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,3048472,2,1.3,4601,8142,2.8,1,3,3,2185,2416,1980,1997,7528 Park Street,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,956354,2,2.7,503,1934,2,0,4,3,501,2,2023,2005,6469 Circular Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,1920212,5,1.4,2213,5402,1.2,1,3,3,1284,929,1983,2016,7246 MG Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,4618151,3,2.8,4908,9202,2.5,1,2,2,2275,2633,1988,0,4140 Main Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,3424466,2,1.9,4586,3143,2.5,1,1,5,1193,3393,1981,1995,9092 Circular Road,Patna,Bihar,Bihar 115249,India
02-05-2024,4064840,3,1.8,1532,7942,1.6,0,3,1,1324,208,1992,1994,7903 Park Street,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,4811470,5,2.9,3934,5153,1.7,0,3,3,2963,971,2009,0,877 Station Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,2143880,2,2.3,1767,2109,2.4,0,0,4,899,868,2000,2012,2683 MG Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,846421,4,2.1,2290,3111,2.2,0,3,3,1711,579,1988,2014,3091 Park Street,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,1399942,3,2.9,4819,9303,1.8,1,2,4,3032,1787,2015,2007,779 Station Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,566132,2,2.8,3245,8503,1.1,0,0,5,3024,221,1966,0,2663 Circular Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,4200139,3,1.4,2672,8945,2.6,0,1,2,1978,694,2008,0,3766 Station Road,Delhi,Delhi,Delhi 114299,India
02-05-2024,2171045,5,2.4,3326,8117,1.9,1,0,2,2565,761,2007,0,5635 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,2487562,2,1.8,3459,6402,1.6,0,3,5,2451,1008,1988,2003,5399 Circular Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,4734268,3,1,4449,4790,2.1,1,3,1,3223,1226,2011,2002,1954 Circular Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,2960752,3,1,4375,4611,1.4,0,0,5,4145,230,1982,1993,1165 Main Road,Chennai,Tamil Nadu,Tamil Nadu 119202,India
02-05-2024,2790390,3,1.9,4557,9776,2.4,0,3,2,3647,910,1967,2010,7714 Main Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,2792424,3,1.9,1850,2320,1.2,1,4,3,855,995,2023,0,8873 Circular Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,3610396,4,2.4,987,3777,2,1,3,1,656,331,2005,0,3337 Circular Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,699090,1,2.5,1269,3812,1.1,1,4,4,916,353,1983,2010,2680 Main Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,4926255,3,2.2,3519,9751,2.5,0,0,3,1359,2160,1986,0,2369 Main Road,Ludhiana,Punjab,Punjab 116492,India
02-05-2024,4188468,5,1.7,3514,1388,2.9,0,4,2,2085,1429,1951,0,6964 Park Street,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,3089982,2,2,3640,3485,1,0,0,1,2648,992,1956,2003,8067 Circular Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,2007223,3,2.9,3270,6237,2.4,0,3,1,1562,1708,1990,0,1433 Circular Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,3868849,5,2.8,4753,7650,2.8,1,0,1,1108,3645,1985,2015,3452 Park Street,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,1370462,4,1.7,3053,9532,1.5,0,4,4,1894,1159,2012,0,1445 Circular Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,2627831,3,2.3,2230,6907,2.1,1,2,5,804,1426,2015,2021,4994 Main Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,3957066,5,2.1,4709,1513,1.8,0,2,5,763,3946,1984,0,3919 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,754708,5,1.7,4517,3848,2.4,0,4,5,4345,172,2011,0,2952 Main Road,Delhi,Delhi,Delhi 114299,India
02-05-2024,4906855,3,2.2,4484,1040,2.4,1,2,3,3132,1352,1960,2002,7656 Circular Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,1332262,5,1.9,4450,3214,2.2,1,2,1,4348,102,1950,0,4764 Park Street,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,2791463,2,2.6,1164,3325,2.9,0,3,4,605,559,2022,1999,4680 Station Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,1716514,3,2.4,2609,5584,2.3,1,4,3,1492,1117,2012,1991,5919 MG Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,3446590,3,1.3,2810,5911,2.6,0,3,1,2416,394,1992,1994,2161 Park Street,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,3219278,2,2.3,4218,1447,2.1,1,4,1,4079,139,1956,2003,2900 Park Street,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,2347268,1,2.3,1977,9318,2.6,1,3,4,1662,315,2013,0,4999 Park Street,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,3815916,2,2.8,4679,5123,2.8,0,3,3,3226,1453,2019,2017,6496 Station Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,2082657,1,1.5,1393,6743,2.9,0,3,3,868,525,2000,0,9159 Main Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,2197558,1,2.4,3743,6025,1.5,1,0,1,981,2762,2009,0,1228 Circular Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,2594898,1,2.2,3235,6107,1.2,1,2,3,1851,1384,1996,0,8257 Station Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,3038672,3,1.4,4080,8960,1.9,0,1,4,2941,1139,1973,2014,2656 Main Road,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,3500756,2,1.2,4641,4242,2.2,1,2,2,701,3940,1958,0,3397 Station Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,4700449,3,1.2,3222,3413,2.8,0,0,3,1924,1298,1994,0,554 MG Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,703741,2,2.3,4980,3320,1.2,0,0,5,1701,3279,1998,0,7091 Main Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,2102687,5,2.8,2885,6720,1.2,0,3,2,1141,1744,1950,2006,5479 Park Street,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,4822258,1,3,2453,7777,2,1,1,3,1561,892,1994,0,6999 Circular Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,631514,2,1.5,4864,7329,1.1,1,2,5,1418,3446,2001,0,3462 Circular Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,2627443,5,2.3,2052,2084,1.5,0,1,4,1850,202,2012,0,430 Main Road,Jaipur,Rajasthan,Rajasthan 117583,India
02-05-2024,2120563,2,2.9,1821,7040,1.2,1,1,1,1366,455,1982,0,8702 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,2050173,2,2.7,4331,5224,2.4,1,0,1,1682,2649,2013,0,5471 Main Road,Jaipur,Rajasthan,Rajasthan 117583,India
02-05-2024,2960360,1,2.5,3804,2399,2.4,1,0,5,3540,264,2006,0,684 MG Road,Ludhiana,Punjab,Punjab 116492,India
02-05-2024,4424909,4,1.8,3340,6152,2,1,3,4,2199,1141,1991,0,5357 Circular Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,2447231,2,1.8,3705,2909,1.3,1,1,5,2567,1138,2003,0,6473 Station Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,3931213,3,2,1061,7382,1.2,1,3,1,1047,14,1975,1996,5381 MG Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,4558204,4,2.3,626,4351,2.6,0,4,1,599,27,1997,0,1553 Station Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,3381889,5,1.7,4892,5179,1.2,0,4,2,2531,2361,1995,2011,3352 Station Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,3644181,1,1.7,4735,3865,1.6,0,4,1,3646,1089,1999,0,4841 Main Road,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,3345954,2,1.9,4173,2414,2.8,1,4,3,1447,2726,1970,2021,8786 Circular Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,1144692,5,2.8,2799,5820,2.6,1,1,2,2592,207,1964,0,9661 Circular Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,1095011,2,2.9,4883,4528,1.7,0,0,5,4231,652,2021,0,5723 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,1506277,2,2.1,4347,9958,2.4,1,3,5,3253,1094,1950,0,7640 Circular Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,2498152,5,1.7,2113,1636,2.3,0,4,2,1291,822,2004,0,6655 Main Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,3598839,3,1,1314,4735,2.4,0,0,2,1087,227,2019,0,8219 Main Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,4909797,5,2.5,4195,4794,1,0,1,3,2018,2177,2016,2022,7170 Station Road,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,3689457,1,1.4,4691,5121,2.7,0,2,3,3956,735,1950,0,9638 MG Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,1537021,4,1.1,1133,6587,1.9,1,0,3,672,461,2001,0,8459 Circular Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,4825934,2,1.1,4926,9449,2.1,1,4,4,1839,3087,2012,0,7215 Circular Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,2076443,5,1.4,4947,3214,2.5,1,2,3,2522,2425,1976,2014,5201 Circular Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,1450158,5,2.1,4219,4679,3,0,1,2,2170,2049,1956,0,7553 Main Road,Jaipur,Rajasthan,Rajasthan 117583,India
02-05-2024,4054786,2,1.1,2036,2577,1.3,0,2,1,1368,668,2000,0,8394 MG Road,Patna,Bihar,Bihar 115249,India
02-05-2024,4149944,1,1.5,4474,3563,1.5,0,4,3,2082,2392,2015,0,9620 Park Street,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,1864461,3,1.7,2708,5348,1.1,0,0,3,2340,368,1995,2001,3467 Park Street,Jaipur,Rajasthan,Rajasthan 117583,India
02-05-2024,2099444,4,1.6,2501,1522,1.9,1,1,2,1097,1404,2006,0,1872 Station Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,3422199,4,1.3,3910,8351,2.8,1,1,4,3627,283,1954,2009,8028 Station Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,4035939,4,2.1,3737,6603,1.1,1,3,3,2940,797,2021,2015,7847 MG Road,Jaipur,Rajasthan,Rajasthan 117583,India
02-05-2024,4762150,4,2.1,4531,5881,1.6,0,1,4,1670,2861,2005,0,4492 Circular Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,3516526,2,1.6,4846,6307,1.3,0,0,5,1576,3270,2019,1993,4918 Station Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,4454428,4,2.8,2763,2607,1.8,0,4,5,1546,1217,2018,1997,1927 MG Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,4881250,1,2.4,528,7695,1.7,0,2,1,505,23,1959,0,5637 MG Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,2242601,5,2.7,2269,6460,2.3,0,0,5,1391,878,1970,0,4488 Circular Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,811145,5,2.9,756,8337,2.9,0,1,5,694,62,1972,0,439 Park Street,Ludhiana,Punjab,Punjab 116492,India
02-05-2024,3644397,2,1.8,2959,8563,2.7,0,3,1,799,2160,1975,0,1453 MG Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,2325954,4,2.1,4995,4452,2.6,1,2,1,2923,2072,1958,0,5701 Circular Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,1126574,3,1,772,6963,2.4,1,1,3,727,45,1974,2020,6709 MG Road,Patna,Bihar,Bihar 115249,India
02-05-2024,3263241,3,2.9,4633,7774,2.9,0,3,4,3840,793,1961,1992,273 Circular Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,1842813,2,1.5,2009,4921,1.8,1,3,2,697,1312,1989,0,1936 Main Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,1783965,2,2.6,1477,8417,1.1,0,2,1,893,584,1961,0,7010 MG Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,2446902,4,1.1,3952,6830,1.1,0,0,4,1145,2807,1963,0,6589 Circular Road,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,2003522,1,1.6,3976,3534,2.9,0,4,3,2751,1225,2003,1990,3386 Park Street,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,724566,5,2.3,3930,7892,2.6,0,4,5,3770,160,1994,0,9100 Station Road,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,906839,5,2.4,751,4516,2.1,1,4,5,531,220,1973,2009,7670 Park Street,Ludhiana,Punjab,Punjab 116492,India
02-05-2024,2769684,3,1.6,2857,7322,2.7,0,3,1,1652,1205,2013,0,5036 Park Street,Patna,Bihar,Bihar 115249,India
02-05-2024,1472144,4,2.9,3025,1079,1.3,1,2,2,2656,369,2011,1994,2245 Circular Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,3687740,2,2.1,2952,6141,1.3,0,4,1,1536,1416,1992,0,622 Station Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,1598102,3,1,4801,7047,2.4,1,1,5,3231,1570,2021,0,1056 Park Street,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,2566851,2,2.8,1400,7884,2.5,1,2,4,1098,302,1995,0,4257 Main Road,Lucknow,Uttar Pradesh,Uttar Pradesh 114317,India
02-05-2024,4903068,4,1.4,2111,7980,2.9,1,3,3,1960,151,1979,1999,7901 Main Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,2042367,3,1.6,1438,4145,1.2,1,4,5,1262,176,1984,0,8672 Circular Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,4853226,4,2,3441,4536,2.9,0,1,5,533,2908,1984,0,911 Circular Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,1657501,4,2.8,4933,7644,1,0,1,1,4837,96,1951,2001,6223 Station Road,Ludhiana,Punjab,Punjab 116492,India
02-05-2024,3670532,4,2.2,3316,8952,2.6,0,1,1,2059,1257,1970,2009,6065 Circular Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,4201971,3,2.2,4110,5782,1.9,1,4,2,2893,1217,1970,0,733 Station Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,2388895,1,1.4,578,8685,1.7,1,1,3,535,43,2000,2009,2093 Circular Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,1562742,5,1.5,3020,6846,2.9,0,2,2,714,2306,1983,1995,2809 Park Street,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,1196982,2,2.8,812,6367,1.5,0,4,5,725,87,1973,0,505 Station Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,4078406,5,1.9,2051,2966,2.4,1,2,5,1769,282,2020,2008,1685 MG Road,Indore,Madhya Pradesh,Madhya Pradesh 114770,India
02-05-2024,2408384,1,2.7,1698,9266,1,0,0,4,1585,113,1974,2019,112 Main Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,553858,5,2,2664,9620,1.6,0,3,2,732,1932,1980,0,3236 MG Road,Nagpur,Maharashtra,Maharashtra 118226,India
02-05-2024,1112061,2,2,622,4170,2.1,0,4,2,617,5,1982,1994,1122 MG Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,760629,4,1.3,4410,8186,2.2,0,3,3,2635,1775,1986,0,6312 Circular Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,1575832,2,1.7,1985,4921,2.4,1,3,4,1139,846,2000,2023,5312 Main Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,4699841,1,2.9,4615,5173,1.3,1,1,5,2799,1816,1990,0,3004 Station Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,3322502,1,2.1,1315,1426,1.6,1,2,1,566,749,1953,0,2252 MG Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,4579270,3,3,793,9502,2.6,1,0,3,789,4,1962,1997,8925 Station Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,956339,4,2.3,880,9195,2.7,0,2,4,664,216,1950,2013,6880 MG Road,Chennai,Tamil Nadu,Tamil Nadu 119202,India
02-05-2024,3805516,2,2.5,606,5808,2.4,0,0,5,522,84,1990,0,2256 Park Street,Thane,Maharashtra,Maharashtra 116680,India
02-05-2024,3524261,3,1.7,4062,4320,1.9,1,3,3,2777,1285,1955,2009,6003 Park Street,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,4545129,4,2.6,2213,3153,1.7,0,2,5,620,1593,2019,0,7572 MG Road,Vadodara,Gujarat,Gujarat 114187,India
02-05-2024,4377749,4,2.6,4147,9129,2.8,1,2,1,3142,1005,1955,0,7169 MG Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,2859780,4,2.6,4140,9083,2.9,0,2,4,1262,2878,2010,2021,6736 Main Road,Mumbai,Maharashtra,Maharashtra 113768,India
02-05-2024,1274699,2,1.4,609,3402,2.1,0,4,2,594,15,1955,2009,1240 Park Street,Ahmedabad,Gujarat,Gujarat 118769,India
